user_id,subscription_date,phone_operator,os_name,os_version,affiliate,unsubscription_date,service,aggregator
4b0625b0e19a11ec8a541fcc86ad2588,2022-06-01 11:03:06.000000,C,,,aff_4,2022-06-01 12:23:34.000000,ps,ABC
4058b340e19e11ec95703f2faa3b39a3,2022-06-01 11:32:06.000000,B,Android,8.0,aff_4,,gc,ABC
a0b80170e1b011ec8a541fcc86ad2588,2022-06-01 13:42:29.000000,C,Android,9,aff_4,,ma,ABC
91299d70e1d511ec8a541fcc86ad2588,2022-06-01 18:09:04.000000,B,iOS,15.4,aff_4,2022-06-15 08:24:58.000000,ps,ABC
ee930990e1fa11ecb2988337303a8fef,2022-06-01 22:35:02.000000,C,Android,6.0,aff_4,,ma,ABC
2414d890e25b11ecae2c8b58f62b8645,2022-06-02 10:03:12.000000,B,Android,11,aff_4,2022-06-24 07:56:03.000000,ps,ABC
86fa07f0e26511ecb4346f30d03a03b3,2022-06-02 11:19:03.000000,C,Android,11,aff_4,,ma,ABC
4ba3b470e27a11eca8957b6cb3999042,2022-06-02 13:46:12.000000,B,Android,10,aff_4,2022-06-02 13:49:27.000000,ma,ABC
385eb670e2b211ecaa7033b4a0ee0e67,2022-06-02 20:26:29.000000,C,iOS,15.0,aff_4,,ma,ABC
7362e4c0e2bd11ecbac4d10881086746,2022-06-02 21:47:31.000000,C,Android,10,aff_4,,cl,ABC
aa77b800e2ea11ecbac4d10881086746,2022-06-03 03:10:49.000000,A,Android,7.0,aff_2,,tv,ABC
c08bcf60e31111eca8957b6cb3999042,2022-06-03 07:50:41.000000,B,Android,12,aff_4,2022-06-03 07:51:45.000000,cl,ABC
be94a430e31a11ec831dbdfb6946bba5,2022-06-03 08:55:04.000000,C,iOS,12.5,aff_4,,ps,ABC
3d9aa590e31b11ec831dbdfb6946bba5,2022-06-03 08:58:11.000000,A,Android,11,aff_4,,ma,ABC
d6c80d90e34b11eca8957b6cb3999042,2022-06-03 14:47:04.000000,A,Android,11,aff_4,,gc,ABC
f5faa080e34e11eca8957b6cb3999042,2022-06-03 15:10:07.000000,A,Android,8.0,aff_2,,tv,ABC
